Link,Address,Suburb,Beds,Baths,Carpark,Type,Sale Type,Price
https://www.ratemyagent.com.au/real-estate-agency/mcgrath-parramatta/property-listings/20-49-isabella-street-north-parramatta-aft0tt,20/49 Isabella Street,North Parramatta NSW 2151,2,2,1,Apartment,Sold by Private Sale  on 03 Dec 2021,"$690,000"
https://www.ratemyagent.com.au/real-estate-agency/century-21-masterpiece-waterloo/property-listings/302-1-gauthorpe-street-rhodes-afsi84,302/1 Gauthorpe Street,Rhodes NSW 2138,2,2,1,Apartment,Sold by Private Sale  on 03 Dec 2021,"$800,000"
https://www.ratemyagent.com.au/real-estate-agency/mcgrath-double-bay/property-listings/6-7-addison-st-kensington-afuzo1,6/7 Addison St,Kensington NSW 2033,2,1,,,Sold by Private Sale  on 03 Dec 2021,Price unavailable
https://www.ratemyagent.com.au/real-estate-agency/lan-dom-real-estate/property-listings/18-65a-werona-ave-gordon-afqvim,18/65A Werona Ave,Gordon NSW 2072,1,1,1,Apartment,Sold by Auction  on 03 Dec 2021,"$580,000"
https://www.ratemyagent.com.au/real-estate-agency/mcgrath-parramatta/property-listings/501-52-dunmore-st-wentworthville-afqny5,501/52 Dunmore St,Wentworthville NSW 2145,1,1,1,Apartment,Sold by Private Sale  on 03 Dec 2021,"$470,000"
https://www.ratemyagent.com.au/real-estate-agency/uther-and-sun-property-pty-ltd/property-listings/2-10a-yeo-street-neutral-bay-afsptw,2/10A Yeo Street,Neutral Bay NSW 2089,2,1,,,Sold by Private Sale  on 03 Dec 2021,"$823,456"
https://www.ratemyagent.com.au/real-estate-agency/lj-hooker-manly/property-listings/5-8-west-promenade-manly-afsuom,5/8 West Promenade,Manly NSW 2095,2,1,,,Sold by Auction  on 03 Dec 2021,Price unavailable
https://www.ratemyagent.com.au/real-estate-agency/mcgrath-st-ives/property-listings/41-1-newhaven-place-st-ives-afu297,41/1 Newhaven Place,St Ives NSW 2075,2,2,1,Apartment,Sold by Auction  on 03 Dec 2021,Price unavailable
https://www.ratemyagent.com.au/real-estate-agency/harcourts-rouse-hill-kellyville/property-listings/49-8-18-wallace-street-blacktown-afp9hp,49/8-18 Wallace Street,Blacktown NSW 2148,2,2,3,Apartment,Sold by Private Sale  on 03 Dec 2021,"$445,000"
https://www.ratemyagent.com.au/real-estate-agency/laingsimmons-glebe/property-listings/705-170-ross-street-forest-lodge-afs8j6,705/170 Ross Street,Forest Lodge NSW 2037,2,2,1,Apartment,Sold by Auction  on 03 Dec 2021,Price unavailable
https://www.ratemyagent.com.au/real-estate-agency/ausrealty-riverwood/property-listings/3-71-pitt-st-mortdale-afs25u,3/71 Pitt St,Mortdale NSW 2223,2,1,1,Apartment,Sold by Private Sale  on 03 Dec 2021,Price unavailable
https://www.ratemyagent.com.au/real-estate-agency/lj-hooker-cabramatta/property-listings/24-88-hughes-st-cabramatta-afr66p,24/88 Hughes St,Cabramatta NSW 2166,2,1,1,Apartment,Sold by Private Sale  on 03 Dec 2021,Price unavailable
https://www.ratemyagent.com.au/real-estate-agency/mcgrath-pyrmont/property-listings/2104-81-harbour-street-haymarket-afst9y,2104/81 Harbour Street,Haymarket NSW 2000,2,2,1,Apartment,Sold by Private Sale  on 03 Dec 2021,Price unavailable
https://www.ratemyagent.com.au/real-estate-agency/stone-real-estate-newtown/property-listings/15-31-livingstone-road-petersham-aftljj,15/31 Livingstone Road,Petersham NSW 2049,2,1,1,Apartment,Sold by Auction  on 03 Dec 2021,"$750,000"
https://www.ratemyagent.com.au/real-estate-agency/cobden-hayson-lane-cove/property-listings/4-4-greenwich-road-greenwich-afssr5,4/4 Greenwich Road,Greenwich NSW 2065,3,1,1,Apartment,Sold by Auction  on 03 Dec 2021,Price unavailable
https://www.ratemyagent.com.au/real-estate-agency/rainehorne-dee-why-collaroy/property-listings/3-8-avon-road-dee-why-aftdro,3/8 Avon Road,Dee Why NSW 2099,1,1,1,Apartment,Sold by Private Sale  on 03 Dec 2021,"$725,000"
https://www.ratemyagent.com.au/real-estate-agency/the-agency-hunters-hill/property-listings/35c-14-wolseley-street-drummoyne-afsc4h,35c/14 Wolseley Street,Drummoyne NSW 2047,2,1,1,Apartment,Sold by Auction  on 03 Dec 2021,Price unavailable
https://www.ratemyagent.com.au/real-estate-agency/atlas-by-lj-hooker-lower-north-shore/property-listings/6-59-shellcove-road-kurraba-point-afsmw7,6/59 Shellcove Road,Kurraba Point NSW 2089,2,1,,,Sold by Private Sale  on 03 Dec 2021,Price unavailable
https://www.ratemyagent.com.au/real-estate-agency/dijones-neutral-bay/property-listings/3-82-86-undercliff-street-neutral-bay-afrxk4,3/82-86 Undercliff Street,Neutral Bay NSW 2089,1,1,1,Apartment,Sold by Auction  on 03 Dec 2021,Price unavailable
https://www.ratemyagent.com.au/real-estate-agency/legend-property-holding-pty-ltd/property-listings/level-13-81-harbour-st-haymarket-afqp0s,Level 13/81 Harbour St,Haymarket NSW 2000,2,2,1,Apartment,Sold by Private Sale  on 03 Dec 2021,Price unavailable
