Link,Address,Suburb,Beds,Baths,Carpark,Type,Sale Type,Price
https://www.ratemyagent.com.au/real-estate-agency/cobden-hayson-balmain/property-listings/79-8-water-street-birchgrove-afygo1,79/8 Water Street,Birchgrove NSW 2041,3,2,2,House,Sold by Auction  on 14 Feb 2022,"$1,740,000"
https://www.ratemyagent.com.au/real-estate-agency/clarke-humel-property/property-listings/78-edgecliffe-esplanade-seaforth-afs665,78 Edgecliffe Esplanade,Seaforth NSW 2092,4,3,2,House,Sold by Private Sale  on 14 Feb 2022,Price unavailable
https://www.ratemyagent.com.au/real-estate-agency/first-national-iskandar/property-listings/35-neville-street-marrickville-afxzuv,35 Neville Street,Marrickville NSW 2204,4,2,4,House,Sold by Auction  on 14 Feb 2022,Price unavailable
https://www.ratemyagent.com.au/real-estate-agency/harcourts-your-place-st-marys-mount-druitt/property-listings/27-arundell-st-dharruk-afyvr4,27 Arundell St,Dharruk NSW 2770,3,1,1,House,Sold by Private Sale  on 14 Feb 2022,"$770,000"
https://www.ratemyagent.com.au/real-estate-agency/ballard-property/property-listings/7-23-penkivil-st-bondi-afzcio,7/23 Penkivil St,Bondi NSW 2026,2,2,2,Apartment,Sold by Auction  on 14 Feb 2022,Price unavailable
https://www.ratemyagent.com.au/real-estate-agency/raine-horne-penrith-mid-mountains/property-listings/22-pembroke-street-cambridge-park-afqwi0,22 Pembroke Street,Cambridge Park NSW 2747,3,1,1,House,Sold by Private Sale  on 14 Feb 2022,"$800,000"
https://www.ratemyagent.com.au/real-estate-agency/n-g-farah/property-listings/11-38-chalmers-street-surry-hills-afxiho,11/38 Chalmers Street,Surry Hills NSW 2010,1,1,,Apartment,Sold by Private Sale  on 14 Feb 2022,Price unavailable
https://www.ratemyagent.com.au/real-estate-agent/troy-williams-bz588/sales/overview,4 Huntingdale Avenue,Lansvale NSW 2166,3,1,2,House,Sold by Auction  on 14 Feb 2022,Price unavailable
https://www.ratemyagent.com.au/real-estate-agency/richardson-wrench-narellan/property-listings/83-downes-crescent-currans-hill-afydma,83 Downes Crescent,Currans Hill NSW 2567,3,2,2,House,Sold by Private Sale  on 14 Feb 2022,"$855,000"
https://www.ratemyagent.com.au/real-estate-agency/harcourts-unlimited/property-listings/13-balimba-pl-whalan-afxwta,13 Balimba Pl,Whalan NSW 2770,4,1,1,House,Sold by Private Sale  on 14 Feb 2022,Price unavailable
https://www.ratemyagent.com.au/real-estate-agency/fox-wood/property-listings/28-torres-street-kurnell-afyoed,28 Torres Street,Kurnell NSW 2231,2,1,1,House,Sold by Private Sale  on 14 Feb 2022,Price unavailable
https://www.ratemyagent.com.au/real-estate-agency/harcourts-unlimited/property-listings/9-mindona-way-woodcroft-afye5i,9 Mindona Way,Woodcroft NSW 2767,4,2,2,House,Sold by Private Sale  on 14 Feb 2022,"$950,000"
https://www.ratemyagent.com.au/real-estate-agency/mcgrath-wentworth-falls-leura/property-listings/122-waratah-rd-wentworth-falls-afyxy4,122 Waratah Rd,Wentworth Falls NSW 2782,3,1,1,House,Sold by Private Sale  on 14 Feb 2022,"$1,010,000"
https://www.ratemyagent.com.au/real-estate-agency/gavagna-group/property-listings/3-hopetoun-street-petersham-af6bpv,3 Hopetoun Street,Petersham NSW 2049,6,2,3,House,Sold by Auction  on 14 Feb 2022,Price unavailable
https://www.ratemyagent.com.au/real-estate-agency/cobden-hayson-annandale/property-listings/241-elswick-street-north-leichhardt-afywa3,241 Elswick Street North,Leichhardt NSW 2040,4,3,3,House,Sold by Auction  on 14 Feb 2022,Price unavailable
https://www.ratemyagent.com.au/real-estate-agency/angelland-realty/property-listings/516-5-verona-drive-wentworth-point-afr4yo,516/5 Verona Drive,Wentworth Point NSW 2127,2,2,1,Apartment,Sold by Private Sale  on 14 Feb 2022,Price unavailable
https://www.ratemyagent.com.au/real-estate-agency/my-property-consultants-gregory-hills/property-listings/119-lindesay-street-campbelltown-afyguy,119 Lindesay Street,Campbelltown NSW 2560,6,2,,House,Sold by Private Sale  on 14 Feb 2022,"$950,000"
