Link,Address,Suburb,Beds,Baths,Carpark,Type,Sale Type,Price
https://www.ratemyagent.com.au/real-estate-agency/riverbank-real-estate/property-listings/56-vale-street-merrylands-afsnxp,56 Vale Street,Merrylands NSW 2160,3,1,1,House,Sold by Auction  on 06 Dec 2021,"$900,000"
https://www.ratemyagent.com.au/real-estate-agency/raine-horne-ingleburn/property-listings/2-20-azalea-pl-macquarie-fields-afrd9n,2/20 Azalea Pl,Macquarie Fields NSW 2564,3,1,1,House,Sold by Private Sale  on 06 Dec 2021,"$690,000"
https://www.ratemyagent.com.au/real-estate-agency/laing-simmons-quakers-hill-schofields/property-listings/12-inga-pl-quakers-hill-aft8p4,12 Inga Pl,Quakers Hill NSW 2763,4,2,1,House,Sold by Private Sale  on 06 Dec 2021,"$870,000"
https://www.ratemyagent.com.au/real-estate-agency/ray-white-macarthur-group-campbelltown/property-listings/21-semillon-crescent-eschol-park-afu3c1,21 Semillon Crescent,Eschol Park NSW 2558,3,1,,House,Sold by Private Sale  on 06 Dec 2021,"$603,000"
https://www.ratemyagent.com.au/real-estate-agency/lj-hooker-greystanes/property-listings/192-driftway-drive-pemulwuy-afurnw,192 Driftway Drive,Pemulwuy NSW 2145,5,3,2,House,Sold by Private Sale  on 06 Dec 2021,"$1,200,000"
https://www.ratemyagent.com.au/real-estate-agency/upside-nsw-act/property-listings/4-dalstraith-place-glen-alpine-aft12h,4 Dalstraith Place,Glen Alpine NSW 2560,4,2,2,House,Sold by Private Sale  on 06 Dec 2021,"$1,150,000"
https://www.ratemyagent.com.au/real-estate-agency/century-21-jeffree-real-estate/property-listings/5-salisbury-place-gymea-bay-afu2wv,5 Salisbury Place,Gymea Bay NSW 2227,5,3,2,House,Sold by Auction  on 06 Dec 2021,Price unavailable
https://www.ratemyagent.com.au/real-estate-agency/professionals-belmore/property-listings/21-etela-street-belmore-afrsy4,21 Etela Street,Belmore NSW 2192,5,2,3,House,Sold by Auction  on 06 Dec 2021,"$2,020,000"
https://www.ratemyagent.com.au/real-estate-agency/elders-real-estate-sylvania/property-listings/74-edward-street-sylvania-afrb92,74 Edward Street,Sylvania NSW 2224,4,2,8,House,Sold by Private Sale  on 06 Dec 2021,"$1,695,000"
https://www.ratemyagent.com.au/real-estate-agency/the-studio-estate-agents/property-listings/7-fortune-grove-kellyville-aftfel,7 Fortune Grove,Kellyville NSW 2155,6,3,2,House,Sold by Private Sale  on 06 Dec 2021,Price unavailable
https://www.ratemyagent.com.au/real-estate-agency/manor-real-estate/property-listings/32-sanders-cres-kings-langley-aftdcu,32 Sanders Cres,Kings Langley NSW 2147,4,3,2,House,Sold by Auction  on 06 Dec 2021,"$1,600,000"
https://www.ratemyagent.com.au/real-estate-agency/ray-white-nepean-group-glenmore-park/property-listings/20-tate-street-ropes-crossing-aftofe,20 Tate Street,Ropes Crossing NSW 2760,4,2,2,House,Sold by Private Sale  on 06 Dec 2021,"$870,000"
https://www.ratemyagent.com.au/real-estate-agency/award-group-real-estate/property-listings/45-bank-st-west-ryde-aftzwu,45 Bank St,West Ryde NSW 2114,3,1,1,House,Sold by Private Sale  on 06 Dec 2021,"$1,850,000"
https://www.ratemyagent.com.au/real-estate-agency/mcgrath-maroubra/property-listings/10b-wills-avenue-chifley-afsqax,10B Wills Avenue,Chifley NSW 2036,4,3,3,House,Sold by Auction  on 06 Dec 2021,Price unavailable
https://www.ratemyagent.com.au/real-estate-agency/highland-sutherland/property-listings/11-kingfisher-cres-grays-point-aftks7,11 Kingfisher Cres,Grays Point NSW 2232,5,3,2,House,Sold by Auction  on 06 Dec 2021,Price unavailable
https://www.ratemyagent.com.au/real-estate-agency/century-21-seven-hills/property-listings/12-collins-street-seven-hills-afpjc3,12 Collins Street,Seven Hills NSW 2147,3,1,2,House,Sold by Private Sale  on 06 Dec 2021,"$1,350,000"
https://www.ratemyagent.com.au/real-estate-agency/setia-real-estate/property-listings/56-parkwood-street-plumpton-afqgrs,56 Parkwood Street,Plumpton NSW 2761,3,2,1,House,Sold by Private Sale  on 06 Dec 2021,"$845,000"
https://www.ratemyagent.com.au/real-estate-agency/united-agents-property-group-cecil-hills-carnes-hill/property-listings/13-blacket-place-west-hoxton-afseyx,13 Blacket Place,West Hoxton NSW 2171,5,3,2,House,Sold by Auction  on 06 Dec 2021,"$1,225,000"
https://www.ratemyagent.com.au/real-estate-agency/lj-hooker-burwood/property-listings/3-albert-cres-croydon-afseml,3 Albert Cres,Croydon NSW 2132,3,1,2,House,Sold by Auction  on 06 Dec 2021,"$1,680,000"
https://www.ratemyagent.com.au/real-estate-agency/manor-real-estate/property-listings/17-crestwood-drive-baulkham-hills-afsoow,17 Crestwood Drive,Baulkham Hills NSW 2153,5,3,2,House,Sold by Auction  on 06 Dec 2021,"$2,150,000"
https://www.ratemyagent.com.au/real-estate-agency/manor-real-estate/property-listings/4-park-road-baulkham-hills-afsd53,4 Park Road,Baulkham Hills NSW 2153,3,1,1,House,Sold by Auction  on 06 Dec 2021,Price unavailable
https://www.ratemyagent.com.au/real-estate-agency/harcourts-exclusive/property-listings/152-balaka-drive-carlingford-afsm0o,152 Balaka Drive,Carlingford NSW 2118,4,2,2,House,Sold by Auction  on 06 Dec 2021,"$1,821,000"
https://www.ratemyagent.com.au/real-estate-agency/the-property-co-group/property-listings/31-gwawley-parade-miranda-afth6w,31 Gwawley Parade,Miranda NSW 2228,4,2,1,House,Sold by Auction  on 06 Dec 2021,Price unavailable
